vel,fe/h,isotope,13m,15m,20m,25m,30m,40m,60m,80m,120m
300,0,Mg26,0.00081115,0.00094299,0.0013466,0.0018268,0.002275,0.0032148,0.0050619,0.0071759,0.011346
300,0,Mg27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Al25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Al26,5.4088e-06,5.4109e-06,4.6238e-06,1.3068e-05,2.1803e-05,3.8881e-05,0.00014073,0.00031632,0.00085138
300,0,Al27,0.00046239,0.00053192,0.00073054,0.001046,0.0013158,0.001903,0.0035905,0.0053022,0.00884
300,0,Al28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Si27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Si28,0.0047029,0.0053947,0.0072693,0.0095469,0.011563,0.016113,0.026682,0.038472,0.062349
300,0,Si29,0.00024734,0.00028382,0.00038285,0.00050258,0.0006089,0.00084885,0.0014048,0.0020244,0.0032795
300,0,Si30,0.00016869,0.00019361,0.00026127,0.00034304,0.00041564,0.00057959,0.00095945,0.0013835,0.0022405
300,0,Si31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Si32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,P29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,P30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,P31,4.4887e-05,5.1574e-05,6.9664e-05,9.1495e-05,0.00011088,0.00015475,0.00025601,0.00037007,0.00059805
300,0,P32,6.421e-33,1.2324e-24,2.3235e-32,1.5416999999999998e-32,2.9706e-32,3.0982999999999997e-32,7.8346e-33,9.3057e-33,1.0891e-32
300,0,P33,0.0,7.0464e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,P34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,S31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,S32,0.0022534,0.0025844,0.0034809,0.0045713,0.0055359,0.0077118,0.012771,0.01841,0.029845
300,0,S33,1.8779e-05,2.2029e-05,3.1216e-05,4.0937e-05,5.0294e-05,7.2069e-05,0.00011759,0.00017125,0.00026811
300,0,S34,0.00010821,0.00012419,0.00016751,0.0002198,0.00026625,0.00037108,0.00061424,0.000886,0.0014353
